,total_num,average_revenue,rating,voting_total
Spike Lee,16.0,190718771.0,7.147503607503607,3465.0
David S. Goyer,2.0,189419416.0,5.496846011131726,1617.0
Jean-Jacques Annaud,4.0,189366560.0,7.1004692387904065,1918.0
Peter MacDonald,1.0,189015611.0,5.7,690.0
Bong Joon-ho,3.0,188375756.0,6.4557795698924725,5208.0
Miloš Forman,3.0,187388734.0,7.975191873589164,4430.0
Alexandre Aja,4.0,186248317.0,5.914985308521057,2042.0
Rob Bowman,4.0,186192124.0,5.774429223744292,1752.0
Brian Taylor,4.0,185537513.0,5.699257742513438,3907.0
Curtis Hanson,7.0,185224998.0,7.049408528198074,3635.0
Allen Hughes,4.0,184767034.0,6.482892944701716,3671.0
Michael Moore,6.0,184200380.0,7.112426035502959,1352.0
Jeannot Szwarc,2.0,182784007.0,6.161023622047244,508.0
William Brent Bell,3.0,182051952.0,5.542001316655694,1519.0
Nicholas Meyer,2.0,181700000.0,7.0722426470588236,1088.0
Tod Williams,1.0,177512032.0,5.700000000000001,722.0
Terry Gilliam,7.0,176739169.0,7.044281763461852,6147.0
Denis Villeneuve,3.0,176456341.0,7.617190635451505,5980.0
Bob Clark,4.0,174582460.0,6.24160125588697,637.0
Mark Neveldine,5.0,174322276.0,5.63489156626506,4150.0
Mathieu Kassovitz,2.0,173699932.0,5.592796934865901,1305.0
